journal	paper	url	size_in_kb	author
IJHS-2-1967-Issue-2	WMW Haffkine‚ Bacteriologist—A Great Saviour of Mankind	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_2_HIJhala.pdf	394.0	H I Jhala
IJHS-2-1967-Issue-2	Bhaskara I’s Approximation to Sine	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_3_RCGupta.pdf	246.0	R C Gupta
IJHS-2-1967-Issue-2	Notes: Rasarnavakalpa of Rudrayamala Tantra	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_4_Notes.pdf	99.0	Mira Roy
IJHS-2-1967-Issue-2	News	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_5_News.pdf	18.0	
IJHS-2-1967-Issue-2	Review	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol02_2_6_Review.pdf	51.0	P Ray
IJHS-4-1969-Issue-1&2	Source Materials Concerning Astronomy and Mathematics	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_1_AKBag.pdf	85.0	A K Bag
IJHS-4-1969-Issue-1&2	Archaeological Plant Remainsfrom Pre– and Proto–Historic Periods as a Source of Historyof Sciences	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_2_KAChowdhury.pdf	117.0	K A Chowdhury
IJHS-4-1969-Issue-1&2	The Sivatattvratnakara as a Source for Sciences in Ancient and Medieval India	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_3_GSDikshit.pdf	81.0	G S Dikshit
IJHS-4-1969-Issue-1&2	Pottery in the Vedic Literature	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_4_CGKashikar.pdf	245.0	C G Kashikar
IJHS-4-1969-Issue-1&2	Philosophical Trends viz History of Sciences of India — Orthodox Systems	https://insa.nic.in/(S(eh1ucortlbqqezipwgliy3mn))/writereaddata/UpLoadedFiles/IJHS/Vol04_1And2_5_TMPMahadevan.pdf	306.0	T M P Mahadevan
