journal	paper	url	year	author
SwarajyaMag	A Forgotten Indian Theory Of How Power Turns Comic Before It Turns Cruel	https://swarajyamag.com/culture/a-forgotten-indian-theory-of-how-power-turns-comic-before-it-turns-cruel	2026	R. S. Hariharan
SwarajyaMag	Purāṇic Dhruva Was Not A Myth: How Ancient India Remembered A Real Pole Star	https://swarajyamag.com/ideas/puric-dhruva-was-not-a-myth-how-ancient-india-remembered-a-real-pole-star	2025	R. S. Hariharan
SwarajyaMag	How A Sanskrit Play Brings Ancient Theatre Into Today’s Bengaluru	https://swarajyamag.com/books/how-a-sanskrit-play-brings-ancient-theatre-into-todays-bengaluru	2025	R. S. Hariharan
SwarajyaMag	Rāmānuyātram: The Modern Ratha Yatra In Classical Sanskrit	https://swarajyamag.com/books/rmnuytram-the-modern-ratha-yatra-in-classical-sanskrit	2025	R. S. Hariharan
SwarajyaMag	Before Space Science, There Was Mahāsalilam: Rediscovery Of India's Oldest Astronomical Text	https://swarajyamag.com/ideas/before-space-science-there-was-mahsalilam-rediscovery-of-indias-oldest-astronomical-text	2025	R. S. Hariharan
SwarajyaMag	Did India Lack Historical Consciousness, Or Is It Just That India Understood Time Differently?	https://swarajyamag.com/ideas/did-india-lack-historical-consciousness-or-is-it-just-that-india-understood-time-differently	2026	R. S. Hariharan
